NON.COURSES.ID,NCRS.DESC,NCRS.SHORT.TITLE,NCRS.CAT.DESC.CC,NCRS.DESIRED.GRADES,NCRS.GRADE.SCHEME,NCRS.DESIRED.SCORE,NCRS.COURSE.EQUIVS,NCRS.MIN.SCORE,NCRS.MAX.SCORE,NCRS.TYPE,DataDatetime
DREW96,,WAIVER DRE 096,Placement,,,9999,322856,9999,9999,TEST,2017-08-24T22:02:56.379Z
ACTM,ACT Math Admissions Test,ACT Math,Placement,,,22,316436,1,36,TEST,2017-08-24T22:02:56.379Z
HGPAN,GPA No Credits,GPA NO Credits,High School GPA,44,HSGPA,0,,0,0,HSGPA,2017-08-24T22:02:56.379Z
CLEPALG,CLEP College Algebra,CLEP Col Algebra,Other Test,,CU,50,263003,1,100,TEST,2017-08-24T22:02:56.379Z
WINLI,WIN Pre-Test Locating Information,WIN Locating Information,Other Test,,,0,,0,0,TEST,2017-08-24T22:02:56.379Z
TPMKTI,,Tech Prep Marketing I,Other Test,,,93,321770,0,100,TEST,2017-08-24T22:02:56.379Z
APMAT,AP Math Calculus AB,AP Calculus AB,Other Test,,CU,3,262345,1,5,TEST,2017-08-24T22:02:56.379Z
AEDMA,,DMA - Adult Ed,Placement,,,0,,1,1,TEST,2017-08-24T22:02:56.379Z
WPTLI,WIN POST TEST Locating Information,WIN POST Locating Info,Other Test,,,0,,0,0,TEST,2017-08-24T22:02:56.379Z
PTWEA,,DO NOT USE Elem Alg Waiver,Placement,,,9999,9,9999,9999,TEST,2017-08-24T22:02:56.379Z
COMR,Reading Placement Test,COMPASS Reading,Placement,,,0,262283,0,100,TEST,2017-08-24T22:02:56.379Z
DMAW1030,,WAIVER DMA 010 - DMA 030,Other Test,,,0,326407,8888,8888,TEST,2017-08-24T22:02:56.379Z
12TPMICRO,HS Course ID 6417,Tech Prep MS Word/PP 6417,Other Test,,,93,316665,0,100,TEST,2017-08-24T22:02:56.379Z
