"DATA.ELEMENT","COMPUTED.COLUMN.CODE","CONVERTED.FROM","DATA.TYPE","DATABASE.USAGE.TYPE","DEFAULT.DISPLAY.SECURE","DEFAULT.DISPLAY.SIZE","DEFAULT.INPUT.PROMPT","DEFAULT.SAMPLE.DATA","DEFAULT.ZERO.PAD","DERIVED.SEC.PTR","DT1","DT2","DT3","DT4","DT5","ELEMENT.ASSOC.NAME","ELEMENT.ASSOC.TYPE","ELEMENT.POINTED.FROM","ELEMENT.POINTED.TO","FIELD.PLACEMENT","INFORM.CONVERSION.STRING","INFORM.FORMAT.STRING","MAXIMUM.STORAGE.SIZE","PURPOSE","REPORT.HEADER","SOURCE","TRUNCATION.FLAG","VALIDATION.TABLE","TOOLCDD.ADD.DATE","TOOLCDD.ADD.OPERATOR","TOOLCDD.CHANGE.DATE","TOOLCDD.CHANGE.OPERATOR","DataDatetime"
"BATCH.POSTWRITE.HOOK","","","","H","","40","","","","","","","","","","","","","","44","","40L","40","","","BPRCSDEF","","","1988-07-08","KIM","","","2020-06-01T17:13:41.998Z"
"BATCH.PRCS.CATALOG.TYPE","","","","D","","20","Catalog Disposition","A","","","","","","","","","","","","70","","20L","1","This field tells the generators how to catalog the, process.","","BPRCSDEF","","$VR.PROCESS.CATALOG.TYPES","1988-07-08","KIM","","","2020-06-01T17:13:41.857Z"
"BATCH.PRCS.PROTOTYPE.FLAG","","","","D","","1","","","","","","","","","","","","","","65","","1L","1","","","BPRCSDEF","","","1988-07-08","KIM","","","2020-06-01T17:13:42.014Z"
"BATCH.PRCS.SHORT.DESC","","","","D","","29","Description","","N","","","","","","","","","","","64","","29L","29","","","BPRCSDEF","","","1988-07-15","KIM","","","2020-06-01T17:13:41.389Z"
"BATCH.PRCS.SYNONYMS","","","","L","","32","VOC Synonyms","S.DATA.XFORM","","","","","","","","","","","","141","","32L","32","","","BPRCSDEF","","","1991-01-19","RGH","","","2020-06-01T17:13:42.029Z"
"BATCH.PREWRITE.HOOK","","","","H","","40","","","","","","","","","","","","","","41","","40L","40","","","BPRCSDEF","","","1988-07-12","KIM","","","2020-06-01T17:13:41.467Z"
"BATCH.PRIMARY.DELETES","","","","L","","8","","PEOPLE","","","","","","","","","","","","108","","8L","8","","","BPRCSDEF","","","1989-04-27","RGH","","","2020-06-01T17:13:42.061Z"
"BATCH.PROCESS.CODING","","","","L","","6","","","","","","","","","","","","","","1","","6L","60","","","BPRCSCDE","N","","1988-07-08","KIM","","","2020-06-01T17:13:42.014Z"
"BATCH.PROCESS.LOCKS","","","","L","","8","","GLBU01","","","","","","","","","","","","111","","8L","8","This is a list of processes which may not run while this, process is running.  A process may have its own name in, the list if only one copy of it is to run at a time.","Process Locks","BPRCSDEF","","","1989-05-04","RGH","","","2020-06-01T17:13:42.029Z"
"BATCH.PROCESS.STATUS","","","","D","","20","","Releasable","N","","","","","","","","","","","88","","20L","1","","","BPRCSDEF","","$VR.PROCESS.STATUSES","1989-01-25","RGH","","","2020-06-01T17:13:42.029Z"
"BATCH.PROCESS.TYPE","","","","D","","1","Process Type","B","","","","","","","","","","","","1","","1L","1","This is used to identify the Batch Process.","","BPRCSDEF","","$VR.PROCESS.TYPES","1988-07-07","KIM","","","2020-06-01T17:13:41.686Z"
"BATCH.READ.MODIFY","","","","A","","3","Reference Only","Y","","","","","","","","BPRCSELM","D","","","21","","3L","3","","","BPRCSDEF","","","1988-07-08","KIM","","","2020-06-01T17:13:41.357Z"
"BATCH.SELECT.LIST.PRCS","","","","D","","10","","","","","","","","","","","","","","39","","10L","10","","","BPRCSDEF","","","1988-07-08","KIM","","","2020-06-01T17:13:41.576Z"
"BATCH.SUBROUTINE.PROCESS","","","","D","","1","","","","","","","","","","","","","","56","","1L","1","","","BPRCSDEF","","","1988-07-08","KIM","","","2020-06-01T17:13:41.514Z"
"BATCH.SUBROUTINES","","","","H","","46","Batch Subroutines","$PARSE.DATA","","","","","","","","","","","","138","","46L","0","A list of insert modules containing common subroutines, needed by this process.","","BPRCSDEF","","","1990-12-10","RGH","","","2020-06-01T17:13:41.436Z"
"BATCH.TR.XREF","","","","L","","6","","","","","","","","","","","","","","48","","6L","6","MAY OR MAY NOT NEED","","BPRCSDEF","","","1988-07-08","KIM","","","2020-06-01T17:13:41.904Z"
